Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
31,1197.401271,2339.143586,846.2747571,-707.1491571,1679.415686,1134.507086,777.6127286,8,3.71,0.53,12.8,0.528,0.763,354,156,57.01,365.3
31,1198.272986,2344.039714,849.2385857,-710.9992286,1672.892357,1133.591786,778.1067,7.9,3.69,0.54,12.8,0.512,0.797,356,148,52.01,268.91
32,841.9307143,1922.4351,792.1703571,673.1813571,901.4252143,1062.692357,1570.524043,8.5,3.21,0.75,14.2,1.384,0.806,631,190,74.01,118.09
32,839.9838857,1909.838829,792.2865857,674.271,906.5683286,1062.518014,1573.981843,8.5,3.22,0.75,14.8,1.416,0.857,677,180,61.01,79.47
32,836.7730714,1898.956929,794.8000286,677.6706857,909.7355571,1063.258971,1569.971957,8.5,3.22,0.75,14.2,1.536,0.831,648,184,69.01,205.16
33,980.4897,2456.025943,797.5168714,17.84108571,920.0363143,1066.077514,1528.710814,8,3.61,0.55,14,1.088,1.209,394,151,79.01,88.77
33,981.1725429,2456.534443,802.6890429,25.33782857,929.2619571,1067.472257,1529.960271,8,3.61,0.54,14,1.176,1.191,388,154,90.01,307.38
33,981.7682143,2459.352986,795.7153286,11.63738571,916.2879429,1063.898229,1516.201714,8,3.6,0.55,14,1.152,1.217,384,159,82.01,95.3
34,965.3218714,2332.721957,644.6327143,-287.4768429,701.8607571,1087.056771,1581.086314,8.2,3.69,0.53,12.4,0.936,0.934,465,211,61.01,243.28
34,966.0192429,2331.443443,652.2311571,-281.7380571,706.6987714,1091.589686,1587.566057,8.2,3.68,0.44,12.92,0.888,0.977,472,186,88.01,127.25
34,967.2977571,2333.172343,654.2506286,-280.9535143,706.2774429,1090.340229,1589.919686,8.2,3.69,0.45,12.92,0.808,1.046,488,193,74.01,236.07
35,951.4470857,2324.0484,656.3282143,-290.3244429,693.1872,1084.761257,1580.287243,8.2,3.72,0.6,12.92,0.712,1.071,360,165,98.01,221.17
35,952.4786143,2324.978229,656.9674714,-287.8981714,695.5553571,1087.943014,1579.764214,8.2,3.71,0.59,13.2,0.816,1.063,369,136,118.01,264.37
35,955.0937571,2327.578843,663.3455143,-286.1838,697.2552,1137.8196,1581.0282,8.2,3.72,0.61,13.4,0.736,1.089,373,158,122.01,125.38
36,785.0077714,2642.965071,750.8656286,1187.594486,1245.127629,1042.846329,-586.9252286,8.3,3.46,0.62,13.2,1.088,1.286,430,151,103.01,2.66
36,785.6760857,2637.153643,753.8875714,1190.354914,1249.965643,1041.451586,-583.2930857,8.4,3.47,0.62,13.7,1.056,1.303,437,137,106.01,4.47
36,781.7824286,2638.374043,739.8965571,1172.949686,1232.269843,1038.923614,-586.6056,8.3,3.46,0.62,13.7,1.032,1.311,418,165,109.01,6.28
37,916.1571857,2225.995071,760.6288286,559.4371714,888.8434714,1037.34,1548.760243,7,3.76,0.5,12,0.328,0.951,87,124,49,204.41
37,919.4406429,2227.607743,759.3357857,562.9530857,892.1705143,1037.296414,1552.465029,7,3.76,0.49,12,0.312,0.977,87,100,49,254.4
37,923.9880857,2232.315,747.5967,563.2436571,894.8292429,1037.514343,1558.784957,7.1,3.75,0.42,12,0.296,0.994,91,109,49,233.18
38,770.6390143,2430.63,767.1521571,815.9100429,943.9939286,1073.690486,-123.3621,8.3,3.53,0.6,14.2,1.032,0.866,590,189,74.01,152.3
38,768.9537,2423.351186,768.0674571,818.8302857,950.0668714,1074.184457,-116.6499,8.4,3.53,0.61,14.8,1.048,0.917,602,189,92.01,168.74
38,765.1762714,2421.2736,752.9286857,799.8850286,932.6761714,1069.7823,-123.4783286,8.3,3.52,0.62,14.8,1.088,0.9,601,190,58.01,243.92
39,1223.494586,3106.135929,1078.790014,1317.814071,1279.356943,1162.343829,918.1476,8.8,3.6,0.55,16,1.344,1.191,336,141,114.01,314.9
39,1223.407414,3105.8163,1079.414743,1325.063829,1281.202071,1164.537643,925.5426429,8.8,3.59,0.55,16,1.448,1.226,344,152,119.01,65.07
39,1222.419471,3104.537786,1081.3761,1331.340171,1285.9965,1167.269014,931.5574714,8.8,3.6,0.55,16,1.368,1.217,346,157,111.01,166
40,1152.014014,3217.904229,1043.209543,1534.086386,1245.781414,1107.730929,857.2438286,8.3,3.5,0.59,13,0.432,1.26,148,93,76.01,501.19
40,1148.963014,3205.700229,1037.4417,1533.679586,1241.974929,1106.844686,856.3430571,8.3,3.49,0.6,13.6,0.488,1.234,155,95,77.01,601.28
40,1148.643386,3198.682929,1036.4247,1536.599829,1245.098571,1106.757514,854.9337857,8.3,3.5,0.61,13.6,0.416,1.286,155,87,82.01,464.24
41,1181.928343,1893.799286,649.1220429,756.6044143,1032.676329,1118.917929,1399.319357,8.7,3.8,0.6,14,1.016,0.9,466,183,54.01,27.26
41,1187.986757,1893.9591,652.7396571,762.9969857,1041.044786,1119.5136,1404.912857,8.7,3.79,0.6,13.7,0.984,0.943,474,188,55.01,53.12
41,1191.430029,1895.978571,654.7155429,764.7985286,1045.621286,1119.193971,1411.305429,8.6,3.78,0.59,13.7,1.008,0.969,473,184,47,1.41
42,1146.7692,1891.0098,643.1072143,749.9648571,1011.391971,1122.797057,1395.353057,9.5,3.65,0.61,16,1.896,1.217,623,197,54.01,268.31
42,1147.263171,1884.457414,650.5458429,761.9509286,1026.138471,1127.0394,1395.992314,9.4,3.64,0.6,16,1.848,1.243,630,214,72.01,300.17
42,1146.958071,1884.341186,652.3183286,763.0551,1028.448514,1126.487314,1396.326471,9.4,3.64,0.61,15.7,1.664,1.311,641,199,87.01,214.41
43,933.2137286,2319.791529,766.8325286,-60.52602857,867.8496857,1049.6457,1583.599757,8,3.6,0.59,11.6,0.256,0.917,145,97,101.01,164.59
43,932.0950286,2321.970814,767.9076429,-63.80948571,865.4524714,1049.413243,1597.852286,8,3.61,0.59,11.8,0.28,0.926,155,100,95.01,134.95
43,933.5043,2318.266029,763.6653,-60.27904286,869.3606571,1049.921743,1572.761443,8,3.6,0.6,11.8,0.24,0.926,150,103,97.01,85.62
44,1189.410557,1921.403571,651.3449143,773.5302,1049.020971,1129.044343,1413.397543,8.6,3.67,0.63,14,1.216,1.149,377,152,76.01,6.37
44,1188.713186,1918.861071,653.3789143,779.7629571,1055.399014,1129.654543,1414.1385,8.5,3.68,0.61,14.4,1.24,1.174,387,149,76.01,1.96
44,1186.606543,1923.263229,640.5501857,762.7064143,1038.778329,1125.4122,1411.102029,8.6,3.68,0.63,14.4,1.296,1.174,391,155,83.01,80.41
45,1160.324357,2307.500357,827.9832857,-854.5705714,2524.121357,1128.187157,756.6044143,8.3,3.61,0.59,12.2,0.448,0.943,316,142,60.01,74.52
45,1162.2276,2303.228957,837.1944,-830.1189857,9534.433114,1147.510157,760.5997714,8.3,3.61,0.59,12.2,0.48,0.943,321,150,53.01,91.08
45,1165.816157,2302.822157,844.2988714,-832.5888429,2390.284157,1137.761486,753.1466143,8.3,3.61,0.59,12.8,0.376,1.011,314,151,55.01,65.25
46,768.8955857,2392.507029,756.648,784.7607857,914.3847,1053.292371,-137.7599143,8.3,3.56,0.61,11.8,0.056,0.831,145,95,107.01,369.92
46,770.4646714,2388.177514,757.9701,784.4121,914.6316857,1051.3746,-155.7172286,8.3,3.56,0.6,11.8,0.024,0.874,141,98,104.01,181.63
46,771.9320571,2390.022643,756.5463,784.3539857,911.0576571,1050.793457,-162.1098,8.3,3.56,0.6,11.3,0.12,0.763,140,98,93.01,188.76
47,977.2934143,2380.1868,667.4716286,-252.6373286,719.6437286,1157.985257,1608.705129,8.9,3.58,0.48,12.72,1.008,1.131,373,133,62.01,55.15
47,976.7122714,2372.4576,664.5223286,-247.8429,724.8304286,1165.874271,1610.550257,8.9,3.57,0.47,13.2,1.048,1.131,370,138,75.01,12.22
47,972.9057857,2369.174143,660.7884857,-247.4796857,724.4526857,1153.045543,1608.632486,8.9,3.57,0.49,13.2,1.072,1.114,383,143,74.01,45
48,1247.103514,1987.450457,827.1842143,878.5863,1136.323157,1118.336786,1467.719871,7.8,3.56,0.53,12.2,0.36,0.814,274,141,47,159.46
48,1243.950814,1986.128357,817.4936571,881.3467286,1138.923771,1119.150386,1464.0732,7.9,3.56,0.54,12.2,0.32,0.866,280,147,42,207.35
48,1244.561014,1985.3874,817.3919571,883.5114857,1141.117586,1118.264143,1460.542757,7.7,3.56,0.53,12.2,0.312,0.874,283,149,49,334.01
49,1161.675514,2229.525514,827.9251714,-86.27065714,1232.240786,1129.654543,728.6078571,7.6,3.56,0.54,13,0.664,0.857,493,174,116.01,277.25
49,1162.401943,2223.6705,829.2036857,-87.01161429,1242.3672,1129.610957,730.3512857,7.7,3.57,0.54,13.6,0.72,0.857,456,173,89.01,223.81
49,1164.842743,2222.929543,835.6834286,-70.18752857,1279.763743,1125.572014,732.6758571,7.6,3.57,0.54,13.6,0.704,0.874,494,182,87.01,158.48
50,1220.472643,1968.0984,820.2831429,856.3866429,1112.612529,1119.949457,1434.798129,8.3,3.58,0.62,13.2,0.648,0.909,393,168,75.01,0
50,1221.969086,1970.699014,827.2423286,857.9412,1114.501243,1118.946986,1442.149586,8.4,3.58,0.63,13.2,0.592,0.951,398,177,69.01,0
50,1224.090257,1969.638429,827.7944143,857.7087429,1113.702171,1117.232614,1443.602443,8.4,3.58,0.63,13.2,0.64,0.926,400,179,90.01,60.27
51,837.0636429,2602.343186,762.5611286,1055.3409,1174.693114,1047.451886,-574.5178286,8.3,3.73,0.51,13.2,0.44,0.574,399,150,56.01,88.27
51,836.7440143,2601.979971,766.4838429,1062.6633,1184.005929,1047.873214,-554.3376429,8.3,3.73,0.53,13.2,0.464,0.583,421,157,48,99.85
51,837.9644143,2608.939157,769.1861571,1066.455257,1187.812414,1048.410771,-536.8743,8.2,3.72,0.52,12.8,0.464,0.6,398,152,51.01,77.98
52,953.4229714,2351.013429,754.8028714,-70.173,864.4790571,1069.9857,1611.3348,8.6,3.69,0.47,13.6,1.544,1.32,463,180,69.01,140.93
52,954.1203429,2348.529043,765.1472143,-64.82648571,870.552,1070.654014,1606.772829,8.5,3.7,0.43,14.2,1.568,1.303,465,180,102.01,100.78
52,954.9339429,2354.166129,766.6291286,-62.16775714,875.3609571,1071.075343,1619.093057,8.5,3.68,0.55,14.2,1.56,1.337,462,165,106.01,68.82
53,966.3679286,2422.3923,792.3156429,8.382985714,909.7936714,1057.040743,1515.722271,8.4,3.7,0.56,13,0.8,1.071,430,185,46,163.17
53,971.2059429,2432.504186,799.1440714,11.60832857,913.7599714,1057.621886,1502.355986,8.4,3.69,0.55,13.5,0.84,1.097,432,191,46,196.58
53,974.0680714,2435.221029,800.1901286,15.12424286,916.7528571,1058.697,1507.339286,8.4,3.7,0.54,13.5,0.808,1.123,450,191,48,179.88
54,793.6813286,2420.576229,771.1620429,793.7975571,936.4681286,1062.372729,-104.5185429,8.2,3.62,0.49,11.8,1.248,0.617,337,104,82.01,191.07
54,794.0154857,2425.690286,772.1354571,796.4853429,938.6619429,1062.576129,-107.2063286,8.2,3.62,0.48,11.3,1.256,0.66,333,106,80.01,170.05
54,792.5335714,2428.479771,774.3728571,796.4417571,938.5311857,1062.038571,-109.5599571,8.2,3.63,0.49,11.8,1.256,0.694,334,108,77.01,367.23
55,1218.133543,2027.374971,773.1379286,817.1595,1098.432643,1112.568943,1493.319214,8.8,3.75,0.55,14.5,1.656,1.089,920,275,55.01,147.08
55,1215.256886,2029.902943,770.5227857,818.3944286,1102.500643,1114.443129,1487.3625,8.7,3.75,0.54,14.2,1.76,1.131,917,289,39,104.3
55,1211.770029,2032.953943,769.3314429,818.9174571,1101.134957,1114.312371,1486.636071,8.7,3.75,0.55,14,1.72,1.166,907,282,60.01,19.64
56,1164.653871,1894.990629,648.0178714,789.3372857,1047.045086,1127.606014,1400.655986,8.5,3.56,0.6,14,1.064,1.114,395,172,65.01,45.73
56,1162.881386,1894.235143,643.0636286,784.9060714,1041.654986,1123.857643,1395.047957,8.5,3.56,0.59,13.7,1.088,1.174,389,185,67.01,59.46
56,1162.314771,1893.566829,640.2886714,783.5113286,1039.199657,1125.0054,1392.9849,8.4,3.57,0.61,13.7,1.072,1.209,388,169,69.01,73.18
57,1187.812414,2332.315157,822.7675286,-790.7465571,2551.594886,1132.574786,763.0405714,8.5,3.73,0.51,13.2,0.536,1.003,307,147,69.01,177.35
57,1191.197571,2342.9646,837.6157286,-773.3994429,2128.653643,1139.228871,769.3750286,8.5,3.73,0.51,12.8,0.608,1.003,316,149,58.01,175.55
57,1190.819829,2340.698143,844.0373571,-769.9271143,9575.447271,1152.987429,773.2105714,8.5,3.72,0.51,12.8,0.64,1.003,309,146,65.01,204.9
58,1215.867086,1925.878371,805.0717286,830.0027571,1056.909986,1151.084186,1484.122629,8,3.62,0.51,12.2,0.56,1.149,165,114,56.01,200.94
58,1221.024729,1930.309586,810.5199429,829.4216143,1058.275671,1149.122829,1486.200214,8.1,3.63,0.5,12.2,0.544,1.191,171,103,80.01,179.75
58,1221.184543,1931.922257,805.3477714,829.2182143,1058.2902,1147.669971,1492.534671,8.1,3.62,0.51,12.2,0.616,1.149,166,109,77.01,130.16
59,1146.435043,2995.8786,1057.244143,1271.424343,1238.182971,1132.865357,866.9925,6.9,3.51,0.7,14.2,0.44,1.251,292,214,65.01,272.24
59,1143.049886,2980.667186,1059.292671,1323.6255,1243.050043,1131.891943,865.6268143,6.9,3.52,0.7,14.2,0.464,1.226,303,199,47,137.35
59,1144.313871,2977.311086,1060.658357,1283.381357,1248.0624,1131.703071,868.2564857,6.9,3.52,0.66,14.2,0.464,1.26,296,213,49,51.95
60,1235.625943,2018.309143,786.0974143,796.6451571,1031.630271,1108.253957,1479.473486,8.4,3.48,0.62,14,1.152,0.866,697,258,59.01,247.91
60,1231.848514,2008.6767,779.8937143,796.4417571,1032.124243,1107.934329,1482.422786,8.4,3.48,0.64,14.4,1.168,0.874,716,268,55.01,233.48
60,1227.795043,2002.153371,777.2349857,797.4732857,1034.565043,1107.803571,1485.0234,8.5,3.48,0.63,14.4,1.208,0.874,717,261,54.01,261.43
61,1171.743814,3206.077971,1029.581743,1615.693371,1248.2658,1109.6487,845.2577571,7.4,3.78,0.69,13.2,0.392,0.566,449,175,60.01,387.7
61,1176.349371,3212.514129,1032.850671,1702.167429,1250.110929,1106.1909,857.1130714,7.3,3.79,0.63,13.2,0.424,0.549,461,175,60.01,328.64
61,1179.908871,3216.117214,1033.751443,1634.333529,1250.081871,1105.5807,859.1761286,7.4,3.78,0.63,13.2,0.424,0.557,477,165,58.01,257.26
